video_id,title,published_at,duration_seconds,view_count,like_count,comment_count,tags,description,thumbnail_url
oCbmsqW9MKg,chillest dude ever,2023-07-22T20:49:54Z,24,21149320,1125624,8467,,,https://i.ytimg.com/vi/oCbmsqW9MKg/maxresdefault.jpg
8t07f-f4VaA,car crash fail,2023-06-18T01:43:02Z,19,21101144,1242099,56150,,,https://i.ytimg.com/vi/8t07f-f4VaA/maxresdefault.jpg
mJbPf9Ylhrg,these youtube polls need to stop,2022-07-25T19:52:19Z,21,20828780,827695,5577,,,https://i.ytimg.com/vi/mJbPf9Ylhrg/maxresdefault.jpg
Q-CqEsg41a4,crazy vegan mom,2023-08-12T17:58:26Z,17,20827796,1091552,14378,,,https://i.ytimg.com/vi/Q-CqEsg41a4/maxresdefault.jpg
0xogHBo96zY,this is gross,2022-11-12T14:40:50Z,15,20435286,918254,93025,,,https://i.ytimg.com/vi/0xogHBo96zY/maxresdefault.jpg
I3T3_wNHgaU,Olympics legend strikes again 😭,2025-10-07T00:53:23Z,24,20258515,943482,3721,,,https://i.ytimg.com/vi/I3T3_wNHgaU/maxresdefault.jpg
qD3_wHK4iik,He fell into a volcano 😳,2024-11-12T21:53:32Z,18,20055241,743940,8453,,,https://i.ytimg.com/vi/qD3_wHK4iik/maxresdefault.jpg
XpLzJ4b8ywA,dumbest idea ever,2022-10-25T21:05:15Z,19,19656737,992395,9881,,,https://i.ytimg.com/vi/XpLzJ4b8ywA/maxresdefault.jpg
9QAyrdqsQco,FRESHMAN DRIP 💯‼️🔥,2023-08-16T03:46:55Z,26,19179302,774913,8228,,,https://i.ytimg.com/vi/9QAyrdqsQco/maxresdefault.jpg
uz0KVKaazHI,HOW DID HE DO THIS 😭,2024-04-16T01:02:13Z,28,18888130,1052689,22250,,,https://i.ytimg.com/vi/uz0KVKaazHI/maxresdefault.jpg
2pcXJ9iKWAE,Funniest YT short EVER (not),2025-01-05T01:31:34Z,30,18797986,819717,8802,,,https://i.ytimg.com/vi/2pcXJ9iKWAE/maxresdefault.jpg
fNI5iRWweTU,elon musk might control us,2023-01-27T00:07:13Z,16,18772099,1216123,17834,,,https://i.ytimg.com/vi/fNI5iRWweTU/maxresdefault.jpg
BLftMbFZ72M,Grow a Garden owner getting harassed 😭,2025-06-19T01:25:54Z,42,18765876,689350,8689,,,https://i.ytimg.com/vi/BLftMbFZ72M/maxresdefault.jpg
3SNNRFxanv8,woman wants to have 100 children 😭,2023-11-04T23:50:39Z,20,18725745,1069930,45923,,,https://i.ytimg.com/vi/3SNNRFxanv8/maxresdefault.jpg
rSwAhh7Jw4Y,i’m not surprised,2022-10-02T02:58:52Z,15,18720305,932048,12828,,,https://i.ytimg.com/vi/rSwAhh7Jw4Y/maxresdefault.jpg
klM3Zm-Q8s8,sleep fail,2022-10-28T22:58:35Z,18,18493281,898049,20370,,,https://i.ytimg.com/vi/klM3Zm-Q8s8/maxresdefault.jpg
gq2D3M7Ni-M,crazy bedroom design,2022-11-08T19:21:39Z,38,18450485,922921,18265,,,https://i.ytimg.com/vi/gq2D3M7Ni-M/maxresdefault.jpg
zBoJfgp64CY,Losers get caught stealing 😭,2025-05-31T18:18:09Z,31,18237428,758486,10222,,,https://i.ytimg.com/vi/zBoJfgp64CY/maxresdefault.jpg
Yv1vhPpnQFk,Ligma becoming a real disease?! 😭,2025-04-17T21:40:30Z,34,18201906,722344,7527,,,https://i.ytimg.com/vi/Yv1vhPpnQFk/maxresdefault.jpg
zfgnp4Ni-sI,Insane commercial fail 😭,2025-03-27T00:04:38Z,33,17947163,856982,5449,,,https://i.ytimg.com/vi/zfgnp4Ni-sI/maxresdefault.jpg
jPtUOH12-rY,100 million children bedroom 😧,2023-10-26T22:50:37Z,20,17875604,880155,20133,,,https://i.ytimg.com/vi/jPtUOH12-rY/maxresdefault.jpg
Wubo9hM5wIM,facebook mom fail,2023-07-08T01:09:55Z,31,17732534,835779,10686,,,https://i.ytimg.com/vi/Wubo9hM5wIM/maxresdefault.jpg
W-F1QyePgsU,missing air force jet,2023-09-19T22:00:47Z,20,17731261,1059926,16764,,,https://i.ytimg.com/vi/W-F1QyePgsU/maxresdefault.jpg
nzNQWhVt6uc,Bro bought Google for $12 😭,2025-04-30T01:04:43Z,31,17684074,622513,2572,,,https://i.ytimg.com/vi/nzNQWhVt6uc/maxresdefault.jpg
xc0Tvgsl_8k,coolest olympian ever 🔥😭,2024-07-31T22:46:14Z,23,17665549,1450452,11019,,,https://i.ytimg.com/vi/xc0Tvgsl_8k/maxresdefault.jpg
bAKSN1MQG6w,Craziest flight EVER 😭 (Lawn Chair Larry),2025-05-25T02:17:17Z,57,17635122,782582,7016,,,https://i.ytimg.com/vi/bAKSN1MQG6w/maxresdefault.jpg
Nb5O2RSYl3g,Bro escaped North Korea by ACCIDENT 😭,2025-06-13T00:28:45Z,45,17615642,761784,4461,,,https://i.ytimg.com/vi/Nb5O2RSYl3g/maxresdefault.jpg
jFJYw8GhUxI,bro is onto NOTHING 💀,2023-07-31T02:34:31Z,22,17309655,905056,18264,,,https://i.ytimg.com/vi/jFJYw8GhUxI/maxresdefault.jpg
Ku0W_5RNO8w,im never buying this product,2022-08-15T01:42:47Z,19,17148980,707349,7792,,,https://i.ytimg.com/vi/Ku0W_5RNO8w/maxresdefault.jpg
8OnnF-PIPhw,worst parenting on tiktok,2023-12-23T23:10:40Z,34,17126952,920803,11014,,,https://i.ytimg.com/vi/8OnnF-PIPhw/maxresdefault.jpg
eS1MIePVSJI,flat earther fail,2023-07-08T20:00:49Z,20,17089393,1113858,11312,,,https://i.ytimg.com/vi/eS1MIePVSJI/maxresdefault.jpg
lpaVdTGXJPY,Worst prize EVER 😭,2025-05-23T23:47:39Z,31,16902745,559699,3015,,,https://i.ytimg.com/vi/lpaVdTGXJPY/maxresdefault.jpg
ocbdDwoPMCk,France wants the STATUE OF LIBERTY back 😭,2025-03-17T23:30:21Z,32,16752315,705485,9546,,,https://i.ytimg.com/vi/ocbdDwoPMCk/maxresdefault.jpg
7uMAhKpaqRU,the queen’s biggest secret,2022-09-20T17:47:26Z,16,16735293,857826,4227,,,https://i.ytimg.com/vi/7uMAhKpaqRU/maxresdefault.jpg
rceScf31rjI,Squid Game presidential headshot 😭,2025-01-16T21:01:30Z,35,16727623,1023118,9234,,,https://i.ytimg.com/vi/rceScf31rjI/maxresdefault.jpg
Kg5gHTyUgig,bedroom design fail,2022-10-25T00:42:10Z,43,16470551,856721,14527,,,https://i.ytimg.com/vi/Kg5gHTyUgig/maxresdefault.jpg
0U1l5oQHttA,AI images need to stop,2023-09-30T16:36:55Z,12,16385586,646432,25070,,,https://i.ytimg.com/vi/0U1l5oQHttA/maxresdefault.jpg
AVZK9Tmig54,Uber Eats LEGEND 😭,2025-08-26T21:51:06Z,32,16313880,721963,6875,,,https://i.ytimg.com/vi/AVZK9Tmig54/maxresdefault.jpg
